HBName,DailyPositive,CumulativePositive,datevar,rna_value,weekday,day,NHS_Borders,NHS_Dumfries_and_Galloway,NHS_Fife,NHS_Forth_Valley,NHS_Grampian,NHS_Greater_Glasgow_and_Clyde,NHS_Highland,NHS_Lanarkshire,NHS_Lothian,NHS_Orkney,NHS_Shetland,NHS_Tayside,NHS_Western_Isles
NHS Tayside,41,3003,11-Oct-20,9348,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,57,11-Oct-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,102,2584,12-Oct-20,32713,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,4,516,12-Oct-20,4459.85869,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,23,598,12-Oct-20,4844,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,34,1746,12-Oct-20,1983,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,51,1965,12-Oct-20,41042,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,48,2771,12-Oct-20,11710,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,503,14009,12-Oct-20,76280,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,8,836,12-Oct-20,2650,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,321,7279,12-Oct-20,32978,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,193,7125,12-Oct-20,51873,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,12-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,62,12-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,68,3071,12-Oct-20,9348,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,57,12-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,119,2703,13-Oct-20,28078,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,11,527,13-Oct-20,2305.863142,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,24,622,13-Oct-20,4983.151902,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,46,1792,13-Oct-20,22119.57451,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,56,2021,13-Oct-20,30605,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,32,2803,13-Oct-20,11710,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,473,14482,13-Oct-20,41399.39953,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,24,860,13-Oct-20,2630,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,383,7662,13-Oct-20,43318,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,177,7302,13-Oct-20,51873,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,13-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,63,13-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,75,3146,13-Oct-20,9348,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,57,13-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,116,2819,14-Oct-20,28078,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,3,530,14-Oct-20,1967,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,16,638,14-Oct-20,18113.91725,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,31,1823,14-Oct-20,61059,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,41,2062,14-Oct-20,30605,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,37,2840,14-Oct-20,8563,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,458,14940,14-Oct-20,44868,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,14,874,14-Oct-20,4750,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,370,8032,14-Oct-20,88256.61475,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,154,7456,14-Oct-20,51873,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,14-Oct-20,0,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,63,14-Oct-20,5219,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,55,3201,14-Oct-20,9348,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,2,59,14-Oct-20,0,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,103,2922,15-Oct-20,28078,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,10,540,15-Oct-20,1967,5,Thu,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,24,662,15-Oct-20,18113.91725,5,Thu,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,29,1852,15-Oct-20,61059,5,Thu,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,42,2104,15-Oct-20,30605,5,Thu,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,37,2877,15-Oct-20,8563,5,Thu,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,459,15399,15-Oct-20,44868,5,Thu,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,14,888,15-Oct-20,60948,5,Thu,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,366,8398,15-Oct-20,88256.61475,5,Thu,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,154,7610,15-Oct-20,51873,5,Thu,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,15-Oct-20,0,5,Thu,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,63,15-Oct-20,5219,5,Thu,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,54,3255,15-Oct-20,9348,5,Thu,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,2,61,15-Oct-20,0,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,71,2993,16-Oct-20,28078,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,10,550,16-Oct-20,1967,6,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,19,681,16-Oct-20,6594,6,Fri,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,30,1882,16-Oct-20,44898,6,Fri,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,37,2141,16-Oct-20,30605,6,Fri,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,39,2916,16-Oct-20,13901,6,Fri,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,477,15876,16-Oct-20,44868,6,Fri,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,17,905,16-Oct-20,9293.390495,6,Fri,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,353,8751,16-Oct-20,185887.0091,6,Fri,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,144,7754,16-Oct-20,51873,6,Fri,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,16-Oct-20,0,6,Fri,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,63,16-Oct-20,5219,6,Fri,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,57,3312,16-Oct-20,9348,6,Fri,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,61,16-Oct-20,0,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,76,3069,17-Oct-20,28078,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,5,555,17-Oct-20,1967,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,8,689,17-Oct-20,6594,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,24,1906,17-Oct-20,44898,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,29,2170,17-Oct-20,30605,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,19,2935,17-Oct-20,13901,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,273,16149,17-Oct-20,44868,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,6,911,17-Oct-20,9293.390495,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,252,9003,17-Oct-20,185887.0091,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,132,7886,17-Oct-20,51873,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,17-Oct-20,0,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,63,17-Oct-20,5219,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,31,3343,17-Oct-20,9348,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,61,17-Oct-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,55,3124,18-Oct-20,28078,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,2,557,18-Oct-20,1967,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,11,700,18-Oct-20,6594,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,23,1929,18-Oct-20,44898,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,41,2211,18-Oct-20,30605,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,22,2957,18-Oct-20,13901,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,302,16451,18-Oct-20,44868,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,9,920,18-Oct-20,9293.390495,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,242,9245,18-Oct-20,185887.0091,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,95,7981,18-Oct-20,51873,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,25,18-Oct-20,0,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,63,18-Oct-20,5219,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,32,3375,18-Oct-20,9348,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,61,18-Oct-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,95,3219,19-Oct-20,67947,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,10,567,19-Oct-20,1967,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,8,708,19-Oct-20,3249,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,32,1961,19-Oct-20,36344.79963,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,41,2252,19-Oct-20,4552,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,30,2987,19-Oct-20,6842,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,480,16931,19-Oct-20,111104,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,14,934,19-Oct-20,1626,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,394,9639,19-Oct-20,83924.4582,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,186,8167,19-Oct-20,25334,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,26,19-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,64,19-Oct-20,5219,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,65,3440,19-Oct-20,9348,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,2,63,19-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,153,3372,20-Oct-20,67947,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,7,574,20-Oct-20,1967,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,16,724,20-Oct-20,1281.061764,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,52,2013,20-Oct-20,43261,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,68,2320,20-Oct-20,4552,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,33,3020,20-Oct-20,6842,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,576,17507,20-Oct-20,71317.53711,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,21,955,20-Oct-20,9649,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,461,10100,20-Oct-20,83924.4582,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,213,8380,20-Oct-20,25334,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,27,20-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,65,20-Oct-20,5219,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,88,3528,20-Oct-20,9348,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,63,20-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,166,3538,21-Oct-20,67947,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,4,578,21-Oct-20,19991.68487,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,14,738,21-Oct-20,1281.061764,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,50,2063,21-Oct-20,18415,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,47,2367,21-Oct-20,4552,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,24,3044,21-Oct-20,6842,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,561,18068,21-Oct-20,31660,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,9,964,21-Oct-20,3925.030047,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,443,10543,21-Oct-20,112348,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,189,8569,21-Oct-20,25334,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,28,21-Oct-20,0,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,65,21-Oct-20,5219,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,70,3598,21-Oct-20,22225,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,1,64,21-Oct-20,0,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,136,3674,22-Oct-20,67947,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,9,587,22-Oct-20,19991.68487,5,Thu,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,36,774,22-Oct-20,1281.061764,5,Thu,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,63,2126,22-Oct-20,18415,5,Thu,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,57,2424,22-Oct-20,4552,5,Thu,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,26,3070,22-Oct-20,6842,5,Thu,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,531,18599,22-Oct-20,31660,5,Thu,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,12,976,22-Oct-20,36441,5,Thu,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,360,10903,22-Oct-20,112348,5,Thu,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,189,8758,22-Oct-20,25334,5,Thu,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,2,30,22-Oct-20,0,5,Thu,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,65,22-Oct-20,5219,5,Thu,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,69,3667,22-Oct-20,22225,5,Thu,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,3,67,22-Oct-20,0,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,121,3795,23-Oct-20,67947,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,5,592,23-Oct-20,19991.68487,6,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,15,789,23-Oct-20,1281.061764,6,Fri,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,71,2197,23-Oct-20,60103,6,Fri,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,43,2467,23-Oct-20,32240,6,Fri,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,32,3102,23-Oct-20,6842,6,Fri,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,447,19046,23-Oct-20,70407,6,Fri,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,11,987,23-Oct-20,28103,6,Fri,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,317,11220,23-Oct-20,116817.1354,6,Fri,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,154,8912,23-Oct-20,25334,6,Fri,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,30,23-Oct-20,0,6,Fri,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,66,23-Oct-20,5219,6,Fri,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,65,3732,23-Oct-20,22225,6,Fri,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,67,23-Oct-20,0,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,76,3871,24-Oct-20,67947,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,2,594,24-Oct-20,19991.68487,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,6,795,24-Oct-20,1281.061764,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,31,2228,24-Oct-20,60103,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,39,2506,24-Oct-20,32240,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,31,3133,24-Oct-20,6842,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,359,19405,24-Oct-20,70407,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,7,994,24-Oct-20,28103,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,259,11479,24-Oct-20,116817.1354,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,91,9003,24-Oct-20,25334,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,30,24-Oct-20,0,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,66,24-Oct-20,5219,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,52,3784,24-Oct-20,22225,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,67,24-Oct-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,95,3966,25-Oct-20,67947,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,7,601,25-Oct-20,19991.68487,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,6,801,25-Oct-20,1281.061764,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,32,2260,25-Oct-20,60103,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,43,2549,25-Oct-20,32240,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,15,3148,25-Oct-20,6842,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,318,19723,25-Oct-20,70407,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,14,1008,25-Oct-20,28103,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,231,11710,25-Oct-20,116817.1354,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,136,9139,25-Oct-20,25334,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,30,25-Oct-20,0,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,66,25-Oct-20,5219,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,44,3828,25-Oct-20,22225,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,67,25-Oct-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,102,4068,26-Oct-20,9637,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,6,607,26-Oct-20,19991.68487,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,21,822,26-Oct-20,520.7408351,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,34,2294,26-Oct-20,38553,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,62,2611,26-Oct-20,32240,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,26,3174,26-Oct-20,13326,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,531,20254,26-Oct-20,48427,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,23,1031,26-Oct-20,9109,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,303,12013,26-Oct-20,161080.7687,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,148,9287,26-Oct-20,25334,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,31,26-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,66,26-Oct-20,5219,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,87,3915,26-Oct-20,22225,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,1,68,26-Oct-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,126,4194,27-Oct-20,9637,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,10,617,27-Oct-20,3559.217433,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,16,838,27-Oct-20,2546.053245,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,47,2341,27-Oct-20,15032,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,60,2671,27-Oct-20,32240,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,24,3198,27-Oct-20,13326,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,491,20745,27-Oct-20,17022,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,12,1043,27-Oct-20,4157,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,318,12331,27-Oct-20,175764,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,145,9432,27-Oct-20,43502,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,31,27-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,67,27-Oct-20,5219,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,57,3972,27-Oct-20,22225,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,68,27-Oct-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,83,4277,28-Oct-20,9637,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,7,624,28-Oct-20,3559.217433,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,14,852,28-Oct-20,2546.053245,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,54,2395,28-Oct-20,16282,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,49,2720,28-Oct-20,32240,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,24,3222,28-Oct-20,13326,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,471,21216,28-Oct-20,27030.80587,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,17,1060,28-Oct-20,1321.474888,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,279,12610,28-Oct-20,87038,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,190,9622,28-Oct-20,43502,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,32,28-Oct-20,0,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,67,28-Oct-20,28535,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,78,4050,28-Oct-20,41812,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
